Consumer ID,Age Group,Province,Equifax Score,TransUnion Score,Borrowell Score,Credit Karma Score,Mogo Score,Highest Score Shown,Lowest Score Shown,Score Variance,Checked Multiple Platforms,Confused by Score Difference,Score Category
CON0177,55 plus,Alberta,717,670,733,618,755,755,670,85,Yes,Yes,Good
CON0178,25 to 34,Other,566,599,570,553,565,599,565,34,Yes,Yes,Fair
CON0179,18 to 24,Ontario,552,529,530,482,542,552,529,23,No,No,Fair
CON0180,35 to 44,Ontario,531,541,511,503,518,541,511,30,No,No,Poor
CON0181,35 to 44,British Columbia,506,479,490,455,511,511,479,32,Yes,Yes,Poor
CON0182,18 to 24,Ontario,592,585,564,569,558,592,558,34,Yes,Yes,Fair
CON0183,25 to 34,Quebec,655,613,661,585,666,666,613,53,Yes,Yes,Fair
CON0184,35 to 44,British Columbia,697,678,709,633,728,728,678,50,Yes,Yes,Good
CON0185,25 to 34,Ontario,669,687,658,655,669,687,658,29,Yes,Yes,Good
CON0186,55 plus,Quebec,747,723,746,688,735,747,723,24,No,No,Very Good
CON0187,35 to 44,Quebec,629,577,620,540,629,629,577,52,Yes,Yes,Fair
CON0188,25 to 34,Other,813,866,835,803,835,866,813,53,No,No,Excellent
CON0189,35 to 44,British Columbia,738,686,733,653,753,753,686,67,No,No,Good
CON0190,25 to 34,Ontario,585,561,575,545,586,586,561,25,No,No,Fair
CON0191,55 plus,Quebec,517,495,538,457,539,539,495,44,No,No,Poor
CON0192,45 to 54,Quebec,607,672,605,651,604,672,604,68,No,No,Fair
CON0193,45 to 54,Ontario,613,579,593,549,608,613,579,34,No,No,Fair
CON0194,45 to 54,Other,689,667,691,625,675,691,667,24,No,No,Good
CON0195,35 to 44,Ontario,658,670,660,625,684,684,658,26,Yes,Yes,Good
CON0196,45 to 54,Quebec,733,701,748,659,711,748,701,47,Yes,Yes,Very Good
CON0197,25 to 34,Quebec,709,675,743,634,726,743,675,68,Yes,Yes,Good
CON0198,25 to 34,Other,596,539,580,519,617,617,539,78,No,No,Poor
CON0199,35 to 44,Ontario,822,818,828,770,809,828,809,19,Yes,No,Excellent
CON0200,35 to 44,Ontario,740,740,726,707,761,761,726,35,No,No,Good
CON0201,45 to 54,Ontario,532,558,532,525,527,558,527,31,Yes,Yes,Poor
CON0202,55 plus,Ontario,747,807,730,755,751,807,730,77,No,No,Very Good
CON0203,55 plus,Ontario,700,659,687,618,662,700,659,41,No,No,Good
CON0204,55 plus,Other,823,787,818,719,827,827,787,40,No,No,Very Good
CON0205,35 to 44,British Columbia,796,853,817,798,851,853,796,57,No,No,Very Good
CON0206,25 to 34,Ontario,710,729,711,693,730,730,710,20,No,No,Very Good
CON0207,45 to 54,British Columbia,668,692,654,666,641,692,641,51,Yes,Yes,Good
CON0208,25 to 34,Quebec,627,647,632,610,643,647,627,20,No,No,Fair
CON0209,18 to 24,Ontario,665,657,662,618,662,665,657,8,Yes,No,Fair
CON0210,25 to 34,Quebec,470,451,453,442,499,499,451,48,Yes,Yes,Poor
CON0211,35 to 44,British Columbia,720,696,695,646,734,734,695,39,No,No,Good
CON0212,45 to 54,Ontario,706,676,671,647,718,718,671,47,Yes,Yes,Good
CON0213,35 to 44,Ontario,795,729,790,693,810,810,729,81,Yes,Yes,Very Good
CON0214,35 to 44,Ontario,630,566,624,522,639,639,566,73,Yes,Yes,Fair
CON0215,18 to 24,Ontario,683,667,694,629,663,694,663,31,Yes,Yes,Very Good
CON0216,45 to 54,Quebec,891,900,900,850,897,900,891,9,No,No,Excellent
CON0217,25 to 34,Quebec,588,630,583,609,563,630,563,67,No,No,Fair
CON0218,45 to 54,Ontario,528,514,530,473,526,530,514,16,Yes,No,Poor
CON0219,25 to 34,Ontario,754,721,733,662,751,754,721,33,Yes,Yes,Very Good
CON0220,55 plus,Ontario,796,845,808,782,813,845,796,49,Yes,Yes,Excellent
CON0221,25 to 34,Ontario,696,640,678,619,707,707,640,67,Yes,Yes,Good
CON0222,25 to 34,Quebec,686,655,681,624,663,686,655,31,No,No,Good
CON0223,18 to 24,Other,658,654,670,618,675,675,654,21,No,No,Fair
CON0224,35 to 44,Alberta,765,740,767,722,761,767,740,27,Yes,Yes,Very Good
CON0225,25 to 34,Quebec,632,575,644,523,640,644,575,69,No,No,Fair
CON0226,25 to 34,Quebec,759,805,751,764,772,805,751,54,No,No,Very Good
CON0227,35 to 44,Alberta,685,680,671,640,714,714,671,43,Yes,Yes,Good
CON0228,55 plus,Ontario,639,637,628,607,631,639,628,11,No,No,Good
CON0229,25 to 34,Other,715,742,710,701,742,742,710,32,Yes,Yes,Good
CON0230,35 to 44,Ontario,659,645,652,608,683,683,645,38,No,No,Good
CON0231,25 to 34,Ontario,503,507,491,467,517,517,491,26,Yes,Yes,Poor
CON0232,45 to 54,British Columbia,772,759,772,711,790,790,759,31,No,No,Very Good
CON0233,25 to 34,Alberta,623,666,583,621,610,666,583,83,Yes,Yes,Fair
CON0234,18 to 24,Alberta,620,673,606,633,619,673,606,67,No,No,Fair
CON0235,18 to 24,British Columbia,551,528,561,500,582,582,528,54,Yes,Yes,Fair
CON0236,35 to 44,Ontario,540,529,524,498,543,543,524,19,Yes,No,Fair
CON0237,55 plus,Ontario,707,677,705,630,682,707,677,30,Yes,Yes,Fair
CON0238,25 to 34,British Columbia,722,639,713,602,742,742,639,103,Yes,Yes,Good
CON0239,45 to 54,Ontario,738,702,707,651,712,738,702,36,Yes,Yes,Very Good
CON0240,45 to 54,Quebec,638,648,634,601,641,648,634,14,No,No,Fair
CON0241,35 to 44,Ontario,787,777,785,747,763,787,763,24,Yes,Yes,Very Good
CON0242,55 plus,Quebec,826,834,820,795,823,834,820,14,No,No,Excellent
CON0243,25 to 34,Alberta,622,653,622,617,659,659,622,37,Yes,Yes,Fair
CON0244,18 to 24,British Columbia,658,712,652,645,660,712,652,60,No,No,Good
CON0245,25 to 34,Other,624,602,615,568,623,624,602,22,Yes,Yes,Fair
CON0246,35 to 44,Alberta,584,477,588,448,581,588,477,111,No,No,Poor
CON0247,18 to 24,Ontario,726,697,701,657,714,726,697,29,Yes,Yes,Good
CON0248,25 to 34,Ontario,641,625,643,577,651,651,625,26,Yes,Yes,Fair
CON0249,18 to 24,Other,798,752,806,707,818,818,752,66,No,No,Very Good
CON0250,35 to 44,Ontario,790,797,797,757,804,804,790,14,Yes,No,Very Good
CON0251,35 to 44,Ontario,590,584,590,551,618,618,584,34,Yes,Yes,Fair
CON0252,25 to 34,Alberta,658,561,671,532,646,671,561,110,No,No,Fair
CON0253,55 plus,Other,720,677,747,641,737,747,677,70,Yes,Yes,Very Good
CON0254,25 to 34,Ontario,604,601,594,554,630,630,594,36,Yes,Yes,Fair
CON0255,45 to 54,British Columbia,553,544,531,524,551,553,531,22,Yes,Yes,Fair
CON0256,25 to 34,Quebec,562,608,543,559,565,608,543,65,No,No,Fair
CON0257,55 plus,Quebec,671,705,665,655,686,705,665,40,Yes,Yes,Good
CON0258,45 to 54,Quebec,669,713,653,670,667,713,653,60,Yes,Yes,Good
CON0259,55 plus,British Columbia,648,689,641,636,668,689,641,48,Yes,Yes,Fair
CON0260,25 to 34,Quebec,698,612,691,568,693,698,612,86,No,No,Good
CON0261,18 to 24,Other,584,586,581,531,610,610,581,29,Yes,Yes,Fair
CON0262,45 to 54,Ontario,660,630,671,584,665,671,630,41,Yes,Yes,Fair
CON0263,55 plus,Ontario,677,703,655,660,671,703,655,48,Yes,Yes,Good
CON0264,35 to 44,British Columbia,767,747,760,699,776,776,747,29,Yes,Yes,Very Good
CON0265,45 to 54,Alberta,612,586,599,551,604,612,586,26,Yes,Yes,Fair
CON0266,55 plus,British Columbia,859,825,866,771,865,866,825,41,No,No,Excellent
CON0267,45 to 54,Quebec,542,527,530,505,525,542,525,17,Yes,No,Fair
CON0268,45 to 54,British Columbia,634,640,634,601,647,647,634,13,Yes,No,Fair
CON0269,55 plus,British Columbia,752,737,766,690,731,766,731,35,Yes,Yes,Very Good
CON0270,18 to 24,Alberta,742,702,739,661,746,746,702,44,No,No,Very Good
CON0271,18 to 24,Ontario,560,536,541,512,546,560,536,24,No,No,Fair
CON0272,45 to 54,British Columbia,673,622,666,571,683,683,622,61,Yes,Yes,Fair
CON0273,45 to 54,British Columbia,826,796,809,752,825,826,796,30,No,No,Very Good
CON0274,25 to 34,Alberta,846,804,829,769,848,848,804,44,Yes,Yes,Excellent
CON0275,45 to 54,Quebec,835,829,857,774,830,857,829,28,Yes,Yes,Excellent
CON0276,35 to 44,Ontario,727,704,727,659,741,741,704,37,No,No,Good
CON0277,55 plus,Alberta,674,699,636,657,670,699,636,63,No,No,Fair
CON0278,45 to 54,Quebec,860,894,876,843,891,894,860,34,No,No,Excellent
CON0279,55 plus,Ontario,549,532,559,488,559,559,532,27,Yes,Yes,Poor
CON0280,45 to 54,Quebec,696,567,717,534,700,717,567,150,No,No,Fair
CON0281,25 to 34,Ontario,546,517,546,481,546,546,517,29,Yes,Yes,Poor
CON0282,45 to 54,Ontario,690,664,676,617,694,694,664,30,Yes,Yes,Good
CON0283,55 plus,Ontario,664,726,679,685,667,726,664,62,No,No,Good
CON0284,25 to 34,Ontario,794,793,818,746,822,822,793,29,No,No,Very Good
CON0285,45 to 54,Ontario,744,692,760,654,773,773,692,81,Yes,Yes,Very Good
CON0286,55 plus,British Columbia,731,704,725,658,703,731,703,28,Yes,Yes,Good
CON0287,18 to 24,Quebec,767,743,756,693,804,804,743,61,No,No,Very Good
CON0288,35 to 44,Quebec,900,884,900,848,900,900,884,16,No,No,Excellent
CON0289,45 to 54,Quebec,751,692,719,657,758,758,692,66,Yes,Yes,Very Good
CON0290,35 to 44,Quebec,747,756,751,724,761,761,747,14,No,No,Very Good
CON0291,45 to 54,Ontario,554,578,539,533,554,578,539,39,Yes,Yes,Fair
CON0292,35 to 44,Other,820,834,816,773,823,834,816,18,No,No,Excellent
CON0293,45 to 54,Other,712,732,693,680,735,735,693,42,No,No,Good
CON0294,35 to 44,Quebec,708,695,708,672,722,722,695,27,Yes,Yes,Good
CON0295,25 to 34,British Columbia,566,566,570,528,560,570,560,10,Yes,No,Poor
CON0296,18 to 24,Quebec,682,667,690,637,662,690,662,28,No,No,Good
CON0297,25 to 34,Quebec,683,707,686,654,693,707,683,24,No,No,Good
CON0298,45 to 54,Quebec,810,764,797,732,807,810,764,46,Yes,Yes,Very Good
CON0299,45 to 54,Ontario,821,768,847,725,820,847,768,79,Yes,Yes,Very Good
CON0300,35 to 44,Ontario,607,661,609,616,626,661,607,54,Yes,Yes,Fair
CON0301,55 plus,Ontario,793,756,778,710,795,795,756,39,Yes,Yes,Very Good
CON0302,45 to 54,British Columbia,641,676,624,617,631,676,624,52,Yes,Yes,Fair
CON0303,55 plus,Ontario,562,527,562,489,580,580,527,53,No,No,Poor
CON0304,25 to 34,British Columbia,892,900,894,845,900,900,892,8,Yes,No,Excellent
CON0305,35 to 44,Quebec,743,683,757,631,751,757,683,74,Yes,Yes,Good
CON0306,25 to 34,Alberta,775,791,772,740,785,791,772,19,No,No,Excellent
CON0307,35 to 44,Ontario,676,630,647,594,671,676,630,46,Yes,Yes,Good
CON0308,35 to 44,Quebec,900,885,889,850,885,900,885,15,Yes,No,Excellent
CON0309,35 to 44,British Columbia,710,713,710,674,707,713,707,6,No,No,Good
CON0310,25 to 34,Ontario,699,644,718,602,675,718,644,74,Yes,Yes,Good
CON0311,25 to 34,British Columbia,766,692,757,658,786,786,692,94,No,No,Very Good
CON0312,45 to 54,Quebec,716,680,718,650,741,741,680,61,Yes,Yes,Good
CON0313,35 to 44,Ontario,694,723,695,675,714,723,694,29,No,No,Good
CON0314,45 to 54,Ontario,771,704,773,664,794,794,704,90,Yes,Yes,Very Good
CON0315,35 to 44,Quebec,733,830,748,773,754,830,733,97,Yes,Yes,Excellent
CON0316,55 plus,Alberta,674,730,681,684,680,730,674,56,Yes,Yes,Good
CON0317,18 to 24,Quebec,781,781,793,741,768,793,768,25,Yes,Yes,Very Good
CON0318,25 to 34,Ontario,702,661,727,637,710,727,661,66,Yes,Yes,Good
CON0319,35 to 44,Quebec,636,624,639,595,674,674,624,50,No,No,Fair
CON0320,55 plus,British Columbia,670,746,652,693,668,746,652,94,Yes,Yes,Very Good
CON0321,55 plus,British Columbia,729,708,755,668,726,755,708,47,No,No,Good
CON0322,55 plus,Ontario,900,900,900,847,900,900,900,0,No,No,Excellent
CON0323,25 to 34,Quebec,760,704,742,674,734,760,704,56,No,No,Good
CON0324,35 to 44,Ontario,545,639,545,615,541,639,541,98,No,No,Fair
CON0325,25 to 34,British Columbia,731,728,742,693,741,742,728,14,Yes,No,Very Good
CON0326,25 to 34,Ontario,718,749,730,723,705,749,705,44,No,No,Very Good
CON0327,55 plus,British Columbia,790,838,761,800,789,838,761,77,Yes,Yes,Excellent
